,Source,Text
0,CNN,string
1,CNN,"3. In what nation, whose leader is Boris Johnson, were residents recently allowed to exercise outside again after six weeks of lockdown? 4. New theories suggest that velociraptors did not hunt like wolves in packs -- but instead with limited cooperation like what modern-day lizards, which are the world's largest? 5. As featured on Wednesday's show, what is the term for the proteins in our blood that attach themselves to parts of viruses, limiting the infection and leading to the virus' elimination? 6. What is the world's oldest underground railway, whose first section was completed in 1883? 7. What substance did Nickelodeon send to astronauts at the International Space Station for experiments with its dynamic properties? 8. What was the name of the ""unsinkable"" American battleship that survived both World Wars, two atomic blasts, and only sank after being used for target practice by the U.S. military? 9. According to the U.S. Labor Department, what increased in price by 2.6% from March to April, the biggest one-month price jump since 1974? 10. What country, which has the smallest population in Central America, is home to a picturesque road called the Hummingbird Highway?  Click here to access the printable version of today's CNN 10 transcript. CNN 10 serves a growing audience interested in compact on-demand news broadcasts ideal for explanation seekers on the go or in the classroom. The show's priority is to identify stories of international significance and then clearly describe why they're making news, who is affected, and how the events fit into a complex, international society. Thank you for using CNN 10"
2,CNN,"During this pandemic, restaurants have no longer been able to perform their role as social and cultural hubs. Even when they reopen, they may not function as they did in the past. CNN Chief Medical Correspondent Dr. Sanjay Gupta talks to industry experts about the future of dining."
3,CNN,"""The police showed up and we all searched for a good while. I think he got spooked and ran after Travis confronted him. Travis says they (sic) guy ran into the house."" ""Let me know if he shows up or they find him. I appreciate you letting me know.""   In a recording of a 911 call made February 11, a caller who identified himself as Travis McMichael said he'd just ""caught a guy running into a house being built, two houses down from me. When I turned around, he took off running into the house."" The man reached into his pocket when he saw the caller, so he might be armed, the caller said. The man was a ""black male. Red shirt, white shorts."" The neighborhood had been having a lot of burglaries and break-ins, the caller said in the recording that was provided to CNN by the Brunswick 911 operations coordinator, Cara Richardson. In the more than seven weeks before the shooting, there was only one burglary reported in the Satilla Shores neighborhood: a 9 mm pistol stolen January 1 from Travis McMichael's unlocked truck outside the McMichael's home, the Glynn County Police Department has said. The 911 call ended when police arrived. Motion-sensor security cameras recorded surveillance video showing a trespassing on English's property on February 11, Graddy said. English told CNN he could not identify the person he says he saw on the video after the February 11 incident. He did not report the incident to the police, he said.  Surveillance video appeared to show Arbery at the same construction site just moments before he was killed on February 23. In that video, a man can be seen walking around and not touching anything. English said he did not report a crime after that episode, and he only saw the footage after Arbery's death, Graddy has said.  ""I don't want it to be put out and misused and misinterpreted for people to think that I had accused Mr. Arbery of stealing or robbery, because I never did,"" English told CNN's Chris Cuomo on Tuesday night. After the shooting, Greg McMichael told police there had been ""several break-ins"" in the area, and that Arbery looked like a suspect caught on surveillance video. When the McMichaels saw Arbery jogging on the day of the shooting, the two men grabbed guns and chased him, according to the police report.  When they caught up to him, Travis McMichael exited the truck with a shotgun, and a struggle ensued between him and Arbery, according to the report. The elder McMichael alleged to police that Travis McMichael shot Arbery after the latter attacked him."
4,CNN,Thank you for using CNN 10
5,CNN,"Cameras have issued ""almost double"" the number of speeding violations compared to pre-coronvairus levels, said the commissioner. The DOT is continuing its pace of installing 60 speed cameras per month, she said.  NYPD spokeswoman Det. Sophia Mason told CNN that between April 13 and May 10, collisions with injuries on local streets have decreased 69% from the same time period last year -- from 3,236 to 1,015. ""The NYPD will continue its stepped-up enforcement of speed violations -- both on the highways and the local streets -- to protect our essential and emergency workers as they serve our city,"" said Mason.   Amid calls to free up more roadways to cyclists and pedestrians, the city plans to open 40 miles of streets by the end of May, said Trottenberg.   At a press conference Wednesday, Mayor Bill de Blasio announced that the city will add 12 more miles of open streets for pedestrians on Thursday. So far, the city has added nine miles, he said.  "
6,CNN,"Timeline CNN's early reporting on the coronavirus December 31, 2019 - Cases of pneumonia detected in Wuhan, China, are first reported to the WHO. During this reported period, the virus is unknown. The cases occur between December 12 and December 29, according to Wuhan Municipal Health. January 1, 2020 - Chinese health authorities close the Huanan Seafood Wholesale Market after it is discovered that wild animals sold there may be the source of the virus.  January 5, 2020 - China announces that the unknown pneumonia cases in Wuhan are not SARS or MERS. In a statement, the Wuhan Municipal Health Commission says a retrospective probe into the outbreak has been initiated.  January 7, 2020 - Chinese authorities confirm that they have identified the virus as a novel coronavirus, initially named 2019-nCoV by the WHO. January 11, 2020 - The Wuhan Municipal Health Commission announces the first death caused by the coronavirus. A 61-year-old man, exposed to the virus at the seafood market, died on January 9 after respiratory failure caused by severe pneumonia. January 17, 2020 - Chinese health officials confirm that a second person has died in China. The United States responds to the outbreak by implementing screenings for symptoms at airports in San Francisco, New York and Los Angeles.  January 20, 2020 - China reports 139 new cases of the sickness, including a third death. On the same day, the WHO's first situation report confirms cases in Japan, South Korea and Thailand.  January 20, 2020 - The National Institutes of Health announces that it is working on a vaccine against the coronavirus. ""The NIH is in the process of taking the first steps towards the development of a vaccine,"" says Dr. Anthony Fauci, director of the National Institutes of Allergy and Infectious Diseases. January 21, 2020 - Officials in Washington state confirm the first case on US soil.  January 23, 2020 - At an emergency committee convened by the World Health Organization, the WHO says that the coronavirus does not yet constitute a public health emergency of international concern. January 23, 2020 - The Beijing Culture and Tourism Bureau cancels all large-scale Lunar New Year celebrations in an effort to contain the growing spread of coronavirus. On the same day, Chinese authorities enforce a partial lockdown of transport in and out of Wuhan. Authorities in the nearby cities of Huanggang and Ezhou Huanggang announce a series of similar measures. January 28, 2020 - Chinese President Xi Jinping meets with WHO Director General Tedros Adhanom in Beijing. At the meeting, Xi and the WHO agree to send a team of international experts, including US Centers for Disease Control and Prevention staff, to China to investigate the coronavirus outbreak.  January 29, 2020 - The White House announces the formation of a new task force that will help monitor and contain the spread of the virus, and ensure Americans have accurate and up-to-date health and travel information, it says. January 30, 2020 - The United States reports its first confirmed case of person-to-person transmission of the coronavirus. On the same day, the WHO determines that the outbreak constitutes a Public Health Emergency of International Concern (PHEIC). January 31, 2020 - The Donald Trump administration announces it will deny entry to foreign nationals who have traveled in China in the last 14 days. February 2, 2020 - A man in the Philippines dies from the coronavirus -- the first time a death has been reported outside mainland China since the outbreak began. February 3, 2020 - China's Foreign Ministry accuses the US government of inappropriately reacting to the outbreak and spreading fear by enforcing travel restrictions.  February 4, 2020 - The Japanese Health Ministry announces that ten people aboard the Diamond Princess cruise ship moored in Yokohama Bay are confirmed to have the coronavirus. The ship, which is carrying more than 3,700 people, is placed under quarantine scheduled to end on February 19. February 7, 2020 - Li Wenliang, a Wuhan doctor who was targeted by police for trying to sound the alarm on a ""SARS-like"" virus in December, dies of the coronavirus. Following news of Li's death, the topics ""Wuhan government owes Dr. Li Wenliang an apology,"" and ""We want freedom of speech,"" trend on China's Twitter-like platform, Weibo, before disappearing from the heavily censored platform. February 8, 2020 - The US Embassy in Beijing confirms that a 60-year-old US national died in Wuhan on February 6, marking the first confirmed death of a foreigner. February 10, 2020 - Xi inspects efforts to contain the coronavirus in Beijing, the first time he has appeared on the front lines of the fight against the outbreak. On the same day, a team of international experts from WHO arrives in China to assist with containing the coronavirus outbreak. February 10, 2020 - The Anthem of the Seas, a Royal Caribbean cruise ship, sets sail from Bayonne, New Jersey, after a coronavirus scare had kept it docked and its passengers waiting for days. February 11, 2020 - The WHO names the coronavirus Covid-19.  February 13, 2020 - China's state-run Xinhua News Agency announces that Shanghai mayor Ying Yong will be replacing Jiang Chaoliang amid the outbreak. Wuhan Communist Party chief Ma Guoqiang has also been replaced by Wang Zhonglin, party chief of Jinan city in Shandong province, according to Xinhua. February 14, 2020 - A Chinese tourist who tested positive for the virus dies in France, becoming the first person to die in the outbreak in Europe. On the same day, Egypt announces its first case of coronavirus, marking the first case in Africa.  February 15, 2020 -  The official Communist Party journal Qiushi publishes the transcript of a speech made on February 3 by Xi in which he ""issued requirements for the prevention and control of the new coronavirus"" on January 7, revealing Xi knew about and was directing the response to the virus on almost two weeks before he commented on it publicly.  February 18, 2020 - Xi says in a phone call with British Prime Minister Boris Johnson that China's measures to prevent and control the epidemic ""are achieving visible progress,"" according to state news Xinhua. February 21, 2020 - The CDC changes criteria for counting confirmed cases of novel coronavirus in the United States and begins tracking two separate and distinct groups: those repatriated by the US Department of State and those identified by the US public health network. February 25, 2020 - The NIH announces that a clinical trial to evaluate the safety and effectiveness of the antiviral drug remdesivir in adults diagnosed with coronavirus has started at the University of Nebraska Medical Center in Omaha. The first participant is an American who was evacuated from the Diamond Princess cruise ship docked in Japan.  February 25, 2020 - In an effort to contain the largest outbreak in Europe, Italy's Lombardy region press office issues a list of towns and villages that are in complete lockdown. Around 100,000 people are affected by the travel restrictions. February 26, 2020 - CDC officials say that a California patient being treated for novel coronavirus is the first US case of unknown origin. The patient, who didn't have any relevant travel history nor exposure to another known patient, is the first possible  US case of ""community spread."" February 26, 2020 - President Trump places Vice President Mike Pence in charge of the US government response to the novel coronavirus, amid growing criticism of the White House's handling of the outbreak. February 29, 2020 - A state health official announces that a patient infected with the novel coronavirus in Washington state has died, marking what was believed to be the first death due to the virus in the United States. Autopsy results later reveal two Californians died of novel coronavirus in early and mid-February -- up to three weeks earlier.  March 3, 2020 - The Federal Reserve slashes interest rates by half a percentage point in an attempt to give the US economy a jolt in the face of concerns about the coronavirus outbreak. It is the first unscheduled, emergency rate cut since 2008, and it also marks the biggest one-time cut since then. March 3, 2020 - Officials announce that Iran will temporarily release 54,000 people from prisons and deploy hundreds of thousands of health workers as officials announced a slew of measures to contain the world's deadliest coronavirus outbreak outside China. It is also announced that 23 members of Iran's parliament tested positive for the virus. March 4, 2020 - The CDC formally removes earlier restrictions that limited coronavirus testing of the general public to people in the hospital, unless they had close contact with confirmed coronavirus cases. According to the CDC, clinicians should now ""use their judgment to determine if a patient has signs and symptoms compatible with COVID-19 and whether the patient should be tested."" March 8, 2020 - Italian Prime Minister Giuseppe Conte signs a decree placing travel restrictions on the entire Lombardy region and 14 other provinces, restricting the movements of more than 10 million people in the northern part of the country.  March 9, 2020 - Conte announces that the whole country of Italy is on lockdown. March 11, 2020 - The WHO declares the novel coronavirus outbreak to be a pandemic. WHO says the outbreak is the first pandemic caused by a coronavirus. In an Oval Office address, Trump announces that he is restricting travel from Europe to the United States for 30 days in an attempt to slow the spread of coronavirus. The ban, which applies to the 26 countries in the Schengen Area, applies only to foreign nationals and not American citizens and permanent residents who'd be screened before entering the country. March 13, 2020 - Trump declares a national emergency to free up $50 billion in federal resources to combat coronavirus. March 18, 2020 - Trump signs into law a coronavirus relief package that includes provisions for free testing for Covid-19 and paid emergency leave. March 19, 2020 - At a news conference, officials from China's National Health Commission report no new locally transmitted coronavirus cases for the first time since the pandemic began. March 23, 2020 - United Nations Secretary-General António Guterres calls for an immediate global ceasefire amid the pandemic to fight ""the common enemy."" March 24, 2020 - Japan's Prime Minister Shinzo Abe and International Olympic Committee (IOC) president Thomas Bach agree to postpone the Olympics until 2021 amid the outbreak. March 25, 2020 - The White House and Senate leaders reach an agreement on a $2 trillion stimulus deal to offset the economic damage of coronavirus, producing one of the most expensive and far-reaching measures in the history of Congress. March 27, 2020 - Trump signs the stimulus package into law.  April 2, 2020 - According to the Department of Labor, 6.6 million US workers file for their first week of unemployment benefits in the week ending March 28, the highest number of initial claims in history. Globally, the total number of coronavirus cases surpasses 1 million, according to Johns Hopkins University's tally.  April 3, 2020 -  Trump says his administration is now recommending Americans wear ""non-medical cloth"" face coverings, a reversal of previous guidance that suggested masks were unnecessary for people who weren't sick. April 8, 2020 - China reopens Wuhan after a 76-day lockdown.  April 14, 2020 - Trump announces he is halting funding to the WHO while a review is conducted, saying the review will cover the WHO's ""role in severely mismanaging and covering up the spread of coronavirus."" April 20, 2020 - Chilean health officials announce that Chile will begin issuing the world's first digital immunity cards to people who have recovered from coronavirus, saying the cards will help identify individuals who no longer pose a health risk to others. April 21, 2020 - California's Santa Clara County announce autopsy results that show two Californians died of novel coronavirus in early and mid-February -- up to three weeks before the previously known first US death from the virus. May 1, 2020 - The US Food and Drug Administration issues an emergency-use authorization for remdesivir in hospitalized patients with severe Covid-19. FDA Commissioner Stephen Hahn says remdesivir is the first authorized therapy drug for Covid-19. May 4, 2020 - During a virtual pledging conference co-hosted by the European Union, world leaders pledge a total of $8 billion for the development and deployment of diagnostics, treatments and vaccines against the novel coronavirus. May 11, 2020 - Trump and his administration announce that the federal government is sending $11 billion to states to expand coronavirus testing capabilities. The relief package signed on April 24 includes $25 billion for testing, with $11 billion for states, localities, territories and tribes. "
7,CNN,"Our experience in airports and airplanes changed dramatically after 9/11. And experts now expect a similar transformation as a result of the pandemic. CNN Chief Medical Correspondent Dr. Sanjay Gupta talks to Dr. Henry Wu, the director of the Emory TravelWell Center and other travel experts about what to expect the next time you get on a plane. "
8,CNN,Thank you for using CNN 10
9,CNN,"""Big News!"" Trump tweeted Tuesday morning, referring to a story about the unmasking list.  While US citizens names are required to be kept secret in intelligence reports, senior officials do have the ability to ask for names to be revealed in certain circumstance to better understand the reports. In the past, some Obama officials have acknowledged requesting to identify people but have insisted there were legitimate reasons. The decision to release the names was made by Grenell, a Trump loyalist, and came days after Attorney General William Barr's controversial decision to drop a criminal case against Flynn.  On Thursday, the Justice Department filed a request to a federal judge to drop the case against Flynn, whose lies about his contacts with Russia prompted Trump to fire him three years ago. Flynn later flipped on Trump, pleaded guilty to lying, and cooperated in the Russia investigation. But he reversed course last year, started attacking the Russia investigation, and tried to undo his guilty plea. The court must formally approve the DOJ's request to dismiss the case. Tuesday's news also comes as Trump is facing scrutiny on two fronts -- Senate testimony from top health officials and members of the coronavirus task force about the White House's response efforts and a Supreme Court hearing on the necessity of allowing lawmakers to access the President's tax returns.  While the ability to declassify documents of this nature is fully within the purview of the DNI, there are clear questions about the political motivations behind this specific move by Grenell, whose tenure as acting DNI appears to be coming to an end pending the confirmation of Trump's permanent pick for the job, Rep. John Ratcliffe.   Grenell has taken on an increasingly prominent role in helping the President reshape the narrative surrounding the 2016 investigations into Russian efforts to help Trump win the election and possible ties to the President's campaign.  Along with Barr, Grenell has moved to release documents that predecessors at Justice and the DNI had been slow to release.  Many of the documents illustrate the alarm among US national security officials in 2016 about Russians' election interference, and the effort by US officials to figure out why the Russians were seeking to aid Trump's election, and why Trump and people associated with his campaign seemed to be openly and discreetly encouraging such help. Some of the documents also show missteps in those investigative efforts.  With the 2020 election looming, Trump and allies in Congress and conservative media have highlighted parts of documents to claim there was an Obama-administration conspiracy to target Trump and his campaign. And while Grenell has insisted that the declassification is about increased transparency, the material notably does not include a transcript of Flynn's calls with former Russian Ambassador to the US, Sergey Kislyak, during the Trump transition in 2017.  Those calls have only been summarized but factored into a core piece of the Mueller investigation. Overall, the number of Americans unmasked has increased under over the last three years of the Trump administration. According to ODNI's Statistical Transparency reports,10,012 Americans were umasked in 2019 in response to a specific request. Nearly 17,000 Americans were unmasked in 2018 and 9,529 in 2017. Under the Obama administration, 9,217 Americans were unmasked in 2016 and only 1,122 in 2015.  In September 2017, multiple sources told CNN that former President Barack Obama's national security adviser Susan Rice told House investigators that she unmasked the identities of senior Trump officials out of concerns about the propriety of the United Arab Emirates Crown Prince Sheikh Mohammed bin Zayed al-Nahyan's visit to the United States in late 2016. During the visit, which took place during the transition period before Trump was sworn into office, the crown prince met with Flynn, the president's son-in-law, Jared Kushner, and adviser Steve Bannon in New York, sources said at the time. The Obama administration felt misled by the UAE, which had failed to mention that Zayed was coming to the US even though it's customary for foreign dignitaries to notify the US government about their travels, according to several sources familiar with the matter at the time. Rice told the House Intelligence Committee she requested the names of the Americans mentioned in the classified report be revealed internally, a practice officials in both parties say is common. The meeting preceded a separate effort by the UAE to facilitate a back-channel communication between Russia and the incoming Trump White House. "
